2020-02-19 07:43:40 status unpacked libnginx-mod-http-image-filter:amd64 1.14.2-2+deb10u1
2020-02-19 07:43:40 install libnginx-mod-http-subs-filter:amd64 <none> 1.14.2-2+deb10u1
2020-02-19 07:43:40 status half-installed libnginx-mod-http-subs-filter:amd64 1.14.2-2+deb10u1
2020-02-19 07:43:40 status unpacked libnginx-mod-http-subs-filter:amd64 1.14.2-2+deb10u1
2020-02-19 07:43:40 install libnginx-mod-http-upstream-fair:amd64 <none> 1.14.2-2+deb10u1
2020-02-19 07:43:40 status half-installed libnginx-mod-http-upstream-fair:amd64 1.14.2-2+deb10u1
2020-02-19 07:43:40 status unpacked libnginx-mod-http-upstream-fair:amd64 1.14.2-2+deb10u1
2020-02-19 07:43:40 install libnginx-mod-http-xslt-filter:amd64 <none> 1.14.2-2+deb10u1
2020-02-19 07:43:40 status half-installed libnginx-mod-http-xslt-filter:amd64 1.14.2-2+deb10u1
2020-02-19 07:43:40 status unpacked libnginx-mod-http-xslt-filter:amd64 1.14.2-2+deb10u1
2020-02-19 07:43:40 install libnginx-mod-mail:amd64 <none> 1.14.2-2+deb10u1
2020-02-19 07:43:40 status half-installed libnginx-mod-mail:amd64 1.14.2-2+deb10u1
2020-02-19 07:43:40 status unpacked libnginx-mod-mail:amd64 1.14.2-2+deb10u1
2020-02-19 07:43:40 install libnginx-mod-stream:amd64 <none> 1.14.2-2+deb10u1
2020-02-19 07:43:40 status half-installed libnginx-mod-stream:amd64 1.14.2-2+deb10u1
2020-02-19 07:43:40 status unpacked libnginx-mod-stream:amd64 1.14.2-2+deb10u1
2020-02-19 07:43:40 install libpcre2-8-0:amd64 <none> 10.32-5
2020-02-19 07:43:40 status half-installed libpcre2-8-0:amd64 10.32-5
2020-02-19 07:43:40 status unpacked libpcre2-8-0:amd64 10.32-5
2020-02-19 07:43:40 install libreadline5:amd64 <none> 5.2+dfsg-3+b13
2020-02-19 07:43:40 status half-installed libreadline5:amd64 5.2+dfsg-3+b13
2020-02-19 07:43:40 status unpacked libreadline5:amd64 5.2+dfsg-3+b13
2020-02-19 07:43:40 install libsnappy1v5:amd64 <none> 1.1.7-1
2020-02-19 07:43:40 status half-installed libsnappy1v5:amd64 1.1.7-1
2020-02-19 07:43:40 status unpacked libsnappy1v5:amd64 1.1.7-1
2020-02-19 07:43:41 install libsodium23:amd64 <none> 1.0.17-1
2020-02-19 07:43:41 status half-installed libsodium23:amd64 1.0.17-1
2020-02-19 07:43:41 status unpacked libsodium23:amd64 1.0.17-1
2020-02-19 07:43:41 install libzip4:amd64 <none> 1.5.1-4
2020-02-19 07:43:41 status half-installed libzip4:amd64 1.5.1-4
2020-02-19 07:43:41 status unpacked libzip4:amd64 1.5.1-4
2020-02-19 07:43:41 install lpr:amd64 <none> 1:2008.05.17.3
2020-02-19 07:43:41 status half-installed lpr:amd64 1:2008.05.17.3
2020-02-19 07:43:41 status unpacked lpr:amd64 1:2008.05.17.3
2020-02-19 07:43:41 install mysql-common:all <none> 5.8+1.0.5
2020-02-19 07:43:41 status half-installed mysql-common:all 5.8+1.0.5
2020-02-19 07:43:41 status unpacked mysql-common:all 5.8+1.0.5
2020-02-19 07:43:41 install mariadb-common:all <none> 1:10.3.22-0+deb10u1
2020-02-19 07:43:41 status half-installed mariadb-common:all 1:10.3.22-0+deb10u1
2020-02-19 07:43:41 status unpacked mariadb-common:all 1:10.3.22-0+deb10u1
2020-02-19 07:43:41 install mariadb-client-core-10.3:amd64 <none> 1:10.3.22-0+deb10u1
2020-02-19 07:43:41 status half-installed mariadb-client-core-10.3:amd64 1:10.3.22-0+deb10u1
2020-02-19 07:43:41 status unpacked mariadb-client-core-10.3:amd64 1:10.3.22-0+deb10u1
2020-02-19 07:43:41 install mariadb-client-10.3:amd64 <none> 1:10.3.22-0+deb10u1
2020-02-19 07:43:41 status half-installed mariadb-client-10.3:amd64 1:10.3.22-0+deb10u1
2020-02-19 07:43:41 status unpacked mariadb-client-10.3:amd64 1:10.3.22-0+deb10u1
2020-02-19 07:43:41 install mariadb-client:all <none> 1:10.3.22-0+deb10u1
2020-02-19 07:43:41 status half-installed mariadb-client:all 1:10.3.22-0+deb10u1
2020-02-19 07:43:41 status unpacked mariadb-client:all 1:10.3.22-0+deb10u1
2020-02-19 07:43:41 install nginx-full:amd64 <none> 1.14.2-2+deb10u1
2020-02-19 07:43:41 status half-installed nginx-full:amd64 1.14.2-2+deb10u1
2020-02-19 07:43:41 status unpacked nginx-full:amd64 1.14.2-2+deb10u1
2020-02-19 07:43:41 install nginx:all <none> 1.14.2-2+deb10u1
2020-02-19 07:43:41 status half-installed nginx:all 1.14.2-2+deb10u1
2020-02-19 07:43:41 status unpacked nginx:all 1.14.2-2+deb10u1
2020-02-19 07:43:41 install psmisc:amd64 <none> 23.2-1
2020-02-19 07:43:41 status half-installed psmisc:amd64 23.2-1
2020-02-19 07:43:41 status unpacked psmisc:amd64 23.2-1
2020-02-19 07:43:41 install php-common:all <none> 2:69
2020-02-19 07:43:41 status half-installed php-common:all 2:69
2020-02-19 07:43:41 status unpacked php-common:all 2:69
2020-02-19 07:43:41 install php7.3-common:amd64 <none> 7.3.14-1~deb10u1
2020-02-19 07:43:41 status half-installed php7.3-common:amd64 7.3.14-1~deb10u1
2020-02-19 07:43:41 status unpacked php7.3-common:amd64 7.3.14-1~deb10u1
2020-02-19 07:43:41 install php7.3-json:amd64 <none> 7.3.14-1~deb10u1
2020-02-19 07:43:41 status half-installed php7.3-json:amd64 7.3.14-1~deb10u1
2020-02-19 07:43:41 status unpacked php7.3-json:amd64 7.3.14-1~deb10u1
2020-02-19 07:43:41 install php7.3-opcache:amd64 <none> 7.3.14-1~deb10u1
2020-02-19 07:43:41 status half-installed php7.3-opcache:amd64 7.3.14-1~deb10u1
2020-02-19 07:43:41 status unpacked php7.3-opcache:amd64 7.3.14-1~deb10u1
2020-02-19 07:43:41 install php7.3-readline:amd64 <none> 7.3.14-1~deb10u1
2020-02-19 07:43:41 status half-installed php7.3-readline:amd64 7.3.14-1~deb10u1
2020-02-19 07:43:41 status unpacked php7.3-readline:amd64 7.3.14-1~deb10u1
2020-02-19 07:43:41 install php7.3-cli:amd64 <none> 7.3.14-1~deb10u1
2020-02-19 07:43:41 status half-installed php7.3-cli:amd64 7.3.14-1~deb10u1
2020-02-19 07:43:42 status unpacked php7.3-cli:amd64 7.3.14-1~deb10u1
2020-02-19 07:43:42 install php-cli:all <none> 2:7.3+69
2020-02-19 07:43:42 status half-installed php-cli:all 2:7.3+69
2020-02-19 07:43:42 status unpacked php-cli:all 2:7.3+69
2020-02-19 07:43:42 install php7.3-curl:amd64 <none> 7.3.14-1~deb10u1
2020-02-19 07:43:42 status half-installed php7.3-curl:amd64 7.3.14-1~deb10u1
2020-02-19 07:43:42 status unpacked php7.3-curl:amd64 7.3.14-1~deb10u1
2020-02-19 07:43:42 install php-curl:all <none> 2:7.3+69
2020-02-19 07:43:42 status half-installed php-curl:all 2:7.3+69
2020-02-19 07:43:42 status unpacked php-curl:all 2:7.3+69
2020-02-19 07:43:42 install php7.3-fpm:amd64 <none> 7.3.14-1~deb10u1
2020-02-19 07:43:42 status half-installed php7.3-fpm:amd64 7.3.14-1~deb10u1
2020-02-19 07:43:42 status unpacked php7.3-fpm:amd64 7.3.14-1~deb10u1
2020-02-19 07:43:42 install php-fpm:all <none> 2:7.3+69
2020-02-19 07:43:42 status half-installed php-fpm:all 2:7.3+69
